Name,Image
Têtarte,pokemons/images/Têtarte-RFVF.png
Tartard,pokemons/images/Tartard-RFVF.png
Abra,pokemons/images/Abra-RFVF.png
Kadabra,pokemons/images/Kadabra-RFVF.png
Alakazam,pokemons/images/Alakazam-RFVF.png
Machoc,pokemons/images/Machoc-RFVF.png
Machopeur,pokemons/images/Machopeur-RFVF.png
Mackogneur,pokemons/images/Mackogneur-RFVF.png
Chétiflor,pokemons/images/Chétiflor-RFVF.png
Boustiflor,pokemons/images/Boustiflor-RFVF.png
Empiflor,pokemons/images/Empiflor-RFVF.png
Tentacool,pokemons/images/Tentacool-RFVF.png
Tentacruel,pokemons/images/Tentacruel-RFVF.png
Racaillou,pokemons/images/Racaillou-RFVF.png
Gravalanch,pokemons/images/Gravalanch-RFVF.png
Grolem,pokemons/images/Grolem-RFVF.png
Ponyta,pokemons/images/Ponyta-RFVF.png
Galopa,pokemons/images/Galopa-RFVF.png
Ramoloss,pokemons/images/Ramoloss-RFVF.png
Flagadoss,pokemons/images/Flagadoss-RFVF.png
Magnéti,pokemons/images/Magnéti-RFVF.png
Magnéton,pokemons/images/Magnéton-RFVF.png
Canarticho,pokemons/images/Canarticho-RFVF.png
Doduo,pokemons/images/Doduo-RFVF.png
Dodrio,pokemons/images/Dodrio-RFVF.png
Otaria,pokemons/images/Otaria-RFVF.png
Lamantine,pokemons/images/Lamantine-RFVF.png
Tadmorv,pokemons/images/Tadmorv-RFVF.png
Grotadmorv,pokemons/images/Grotadmorv-RFVF.png
Kokiyas,pokemons/images/Kokiyas-RFVF.png
Crustabri,pokemons/images/Crustabri-RFVF.png
Fantominus,pokemons/images/Fantominus-RFVF.png
Spectrum,pokemons/images/Spectrum-RFVF.png
Ectoplasma,pokemons/images/Ectoplasma-RFVF.png
Onix,pokemons/images/Onix-RFVF.png
Soporifik,pokemons/images/Soporifik-RFVF.png
Hypnomade,pokemons/images/Hypnomade-RFVF.png
Krabby,pokemons/images/Krabby-RFVF.png
Krabboss,pokemons/images/Krabboss-RFVF.png
Voltorbe,pokemons/images/Voltorbe-RFVF.png
Électrode,pokemons/images/Électrode-RFVF.png
Noeunoeuf,pokemons/images/Noeunoeuf-RFVF.png
Noadkoko,pokemons/images/Noadkoko-RFVF.png
Osselait,pokemons/images/Osselait-RFVF.png
Ossatueur,pokemons/images/Ossatueur-RFVF.png
Kicklee,pokemons/images/Kicklee-RFVF.png
Tygnon,pokemons/images/Tygnon-RFVF.png
Excelangue,pokemons/images/Excelangue-RFVF.png
Smogo,pokemons/images/Smogo-RFVF.png
Smogogo,pokemons/images/Smogogo-RFVF.png
Rhinocorne,pokemons/images/Rhinocorne-RFVF.png
Rhinoféros,pokemons/images/Rhinoféros-RFVF.png
Leveinard,pokemons/images/Leveinard-RFVF.png
Saquedeneu,pokemons/images/Saquedeneu-RFVF.png
Kangourex,pokemons/images/Kangourex-RFVF.png
Hypotrempe,pokemons/images/Hypotrempe-RFVF.png
Hypocéan,pokemons/images/Hypocéan-RFVF.png
Poissirène,pokemons/images/Poissirène-RFVF.png
Poissoroy,pokemons/images/Poissoroy-RFVF.png
Stari,pokemons/images/Stari-RFVF.png
Staross,pokemons/images/Staross-RFVF.png
M._Mime,pokemons/images/M._Mime-RFVF.png
Insécateur,pokemons/images/Insécateur-RFVF.png
Lippoutou,pokemons/images/Lippoutou-RFVF.png
Élektek,pokemons/images/Élektek-RFVF.png
Magmar,pokemons/images/Magmar-RFVF.png
Scarabrute,pokemons/images/Scarabrute-RFVF.png
Tauros,pokemons/images/Tauros-RFVF.png
Magicarpe,pokemons/images/Magicarpe-RFVF.png
Léviator,pokemons/images/Léviator-RFVF.png
Lokhlass,pokemons/images/Lokhlass-RFVF.png
Métamorph,pokemons/images/Métamorph-RFVF.png
Évoli,pokemons/images/Évoli-RFVF.png
Aquali,pokemons/images/Aquali-RFVF.png
Voltali,pokemons/images/Voltali-RFVF.png
Pyroli,pokemons/images/Pyroli-RFVF.png
Porygon,pokemons/images/Porygon-RFVF.png
Amonita,pokemons/images/Amonita-RFVF.png
Amonistar,pokemons/images/Amonistar-RFVF.png
Kabuto,pokemons/images/Kabuto-RFVF.png
Kabutops,pokemons/images/Kabutops-RFVF.png
Ptéra,pokemons/images/Ptéra-RFVF.png
Ronflex,pokemons/images/Ronflex-RFVF.png
Artikodin,pokemons/images/Artikodin-RFVF.png
Électhor,pokemons/images/Électhor-RFVF.png
Sulfura,pokemons/images/Sulfura-RFVF.png
Minidraco,pokemons/images/Minidraco-RFVF.png
Draco,pokemons/images/Draco-RFVF.png
Dracolosse,pokemons/images/Dracolosse-RFVF.png
Mewtwo,pokemons/images/Mewtwo-RFVF.png
Mew,pokemons/images/Mew-RFVF.png
