Name,Image,Size,Weigh
Debugant,Debugant-HGSS.png,0.7,21.0
Kicklee,Kicklee-RFVF.png,1.5,49.8
Tygnon,Tygnon-RFVF.png,1.4,50.2
Kapoera,Kapoera-HGSS.png,1.4,48.0
Pandespiègle,Pandespiègle-XY.png,0.6,8.0
Pandarbare,Pandarbare-XY.png,2.1,136.0
Tic,Tic-NB.png,0.3,21.0
Clic,Clic-NB.png,0.6,51.0
Cliticlic,Cliticlic-NB.png,0.6,81.0
Apitrini,Apitrini-DP.png,0.3,5.5
Apireine,Apireine-DP.png,1.2,38.5
Achéomire,Archéomire-DP.png,0.5,60.5
Archéodong,Archéodong-DP.png,1.3,187.0
Tarsal,Tarsal-RS.png,0.4,6.6
Kirlia,Kirlia-RS.png,0.8,20.2
Gardevoir,Gardevoir-RS.png,1.6,48.4
Gallame,Gallame-DP.png,1.6,52.0
Baudrive,Baudrive-DP.png,0.4,1.2
Grodrive,Grodrive-DP.png,1.2,15.0
Tournicoton,Tournicoton-EB.png,0.4,2.2
Blancoton,Blancoton-EB.png,0.5,2.5
Ceribou,Ceribou-DP.png,0.4,3.3
Ceriflor,Ceriflor_(Temps_Couvert)-DP.png,0.5,9.3
Moufouette,Moufouette-DP.png,0.4,19.2
Moufflair,Moufflair-DP.png,1.0,38.0
Tritonde,Tritonde-NB.png,0.5,4.5
Batracné,Batracné-NB.png,0.8,17.0
Crapustule,Crapustule-NB.png,1.5,62.0
Skelénox,Skelénox-RS.png,0.8,15.0
Téraclope,Téraclope-RS.png,1.6,30.6
Noctunoir,Noctunoir-DP.png,2.2,106.6
Machoc,Machoc-RFVF.png,0.8,19.5
Machopeur,Machopeur-RFVF.png,1.5,70.5
Mackogneur,Mackogneur-RFVF.png,1.6,130.0
Fantominus,Fantominus-RFVF.png,1.3,0.1
Spectrum,Spectrum-RFVF.png,1.6,0.1
Ectoplasma,Ectoplasma-RFVF.png,1.5,40.5
Magicarpe,Magicarpe-RFVF.png,0.9,10.0
Léviator,Léviator-RFVF.png,6.5,235.0
Poissirène,Poissirène-RFVF.png,0.6,15.0
Poissoroy,Poissoroy-RFVF.png,1.3,39.0
Rémoraid,Rémoraid-HGSS.png,0.6,12.0
Octillery,Octillery-HGSS.png,0.9,28.5
Kokiyas,Kokiyas-RFVF.png,0.3,4.0
Crustabri,Crustabri-RFVF.png,1.5,132.5
Barpau,Barpau-RS.png,0.6,7.4
Milobellus,Milobellus-RS.png,6.2,162.0
Bargantua,Bargantua_(Bleu)-NB.png,1.0,18.0
Froussardine,Froussardine_(Forme_Solitaire)-SL.png,-1.0,-1.0
Concombaffe,Concombaffe-SL.png,0.3,1.2
Miamiasme,Miamiasme-NB.png,0.6,31.0
Miasmax,Miasmax-NB.png,1.9,107.3
Grillepattes,Grillepattes-EB.png,0.7,1.0
Scolocendre,Scolocendre-EB.png,3.0,120.0
Charbi,Charbi-EB.png,0.3,12.0
Wagomine,Wagomine-EB.png,1.1,78.0
Monthracite,Monthracite-EB.png,2.8,310.5
Taupiqueur,Taupiqueur-RFVF.png,0.2,0.8
Triopikeur,Triopikeur-RFVF.png,0.7,33.3
Rototaupe,Rototaupe-NB.png,0.3,8.5
Minotaupe,Minotaupe-NB.png,0.7,40.4
Nodulithe,Nodulithe-NB.png,0.4,18.0
Géolithe,Géolithe-NB.png,0.9,102.0
Gigalithe,Gigalithe-NB.png,1.7,260.0
Charpenti,Charpenti-NB.png,0.6,12.5
Ouvrifier,Ouvrifier-NB.png,1.2,40.0
Bétochef,Bétochef-NB.png,1.4,87.0
Chovsourir,Chovsourir-NB.png,0.4,2.1
Rhinolove,Rhinolove-NB.png,0.9,10.5
Sonistrelle,Sonistrelle-XY.png,0.5,8.0
Bruyverne,Bruyverne-XY.png,1.5,85.0
Onix,Onix-RFVF.png,8.8,210.0
Steelix,Steelix-HGSS.png,9.2,400.0
Embrochet,Embrochet-EB.png,0.5,1.0
Hastacuda,Hastacuda-EB.png,1.3,30.0
Miaouss,Miaouss-RFVF.png,0.4,4.2
Berserkatt,Berserkatt-EB.png,0.8,28.0
Persian,Persian-RFVF.png,1.0,32.0
Crèmy,Crèmy-EB.png,0.2,0.3
Charmilly,Charmilly-EB.png,0.3,0.5
Bombydou,Bombydou-SL.png,0.1,0.2
Rubombelle,Rubombelle-SL.png,0.2,0.5
Grindur,Grindur-NB.png,0.6,18.8
Noacier,Noacier-NB.png,1.0,110.0
Pitrouille,Pitrouille-XY.png,-1.0,-1.0
Banshitrouye,Banshitrouye-XY.png,-1.0,-1.0
Pichu,Pichu-RFVF.png,0.3,2.0
Pikachu,Pikachu-RFVF.png,0.4,6.0
Raichu,Raichu-RFVF.png,0.8,30.0
Évoli,Évoli-RFVF.png,0.3,6.5
Aquali,Aquali-RFVF.png,1.0,29.0
Voltali,Voltali-RFVF.png,0.8,24.5
Pyroli,Pyroli-RFVF.png,0.9,25.0
Mentali,Mentali-RFVF.png,0.9,26.5
Noctali,Noctali-RFVF.png,1.0,27.0
Phyllali,Phyllali-DP.png,1.0,25.5
Givrali,Givrali-DP.png,0.8,25.9
Nymphali,Nymphali-XY.png,1.0,23.5
Verpom,Verpom-EB.png,0.2,0.5
Pomdrapi,Pomdrapi-EB.png,0.3,1.0
Dratatin,Dratatin-EB.png,0.4,13.0
Psystigri,Psystigri-XY.png,0.3,3.5
Mistigrix,Mistigrix_(Mâle)-XY.png,0.6,8.5
Sucroquin,Sucroquin-XY.png,0.4,3.5
Cupcanaille,Cupcanaille-XY.png,0.8,5.0
Fluvetin,Fluvetin-XY.png,0.2,0.5
Cocotine,Cocotine-XY.png,0.8,15.5
Araqua,Araqua-SL.png,0.3,4.0
Tarenbulle,Tarenbulle-SL.png,1.8,82.0
Okéoké,Okéoké-RS.png,0.6,14.0
Qulbutoké,Qulbutoké-HGSS.png,1.3,28.5
Canarticho,Canarticho-RFVF.png,0.8,15.0
Palarticho,Palarticho-EB.png,0.8,117.0
Loupio,Loupio-HGSS.png,0.5,12.0
Lanturn,Lanturn-HGSS.png,1.2,22.5
Cradopaud,Cradopaud-DP.png,0.7,23.0
Coatox,Coatox-DP.png,1.3,44.4
Baggiguane,Baggiguane-NB.png,0.6,11.8
Baggaïd,Baggaïd-NB.png,1.1,30.0
Limonde,Limonde-NB.png,0.7,11.0
Caratroc,Caratroc-HGSS.png,0.6,20.5
Barloche,Barloche-RS.png,0.4,1.9
Barbicha,Barbicha-RS.png,0.9,23.6
Sancoki,Sancoki_(Mer_Orient)-DP.png,0.3,6.3
Tritosor,Tritosor_(Mer_Orient)-DP.png,0.9,29.9
Sovkipou,Sovkipou-SL.png,0.5,12.0
SarmuraÏ,Sarmuraï-SL.png,2.0,108.0
Opermine,Opermine-XY.png,0.5,31.0
Golgopathe,Golgopathe-XY.png,1.3,96.0
Corayon,Corayon-HGSS.png,0.6,5.0
Corayôme,Corayôme-EB.png,1.0,0.4
Grimalin,Grimalin-EB.png,0.4,5.5
Fourbelin,Fourbelin-EB.png,0.8,12.5
Angoliath,Angoliath-EB.png,1.5,61.0
Bibichut,Bibichut-EB.png,0.4,3.4
Chapotus,Chapotus-EB.png,0.6,4.8
Sorcilence,Sorcilence-EB.png,2.1,5.1
Tritox,Tritox-SL.png,0.6,4.8
Malamandre,Malamandre-SL.png,1.2,22.2
Scalpion,Scalpion-NB.png,0.5,10.2
Scalproie,Scalproie-NB.png,1.6,70.0
Judokrak,Judokrak-NB.png,1.3,55.5
Karaclée,Karaclée-NB.png,1.4,51.0
Smogo,Smogo-RFVF.png,0.6,1.0
Smogogo,Smogogo-RFVF.png,1.2,9.5
Manzaï,Manzaï-DP.png,0.5,15.0
Simularbre,Simularbre-HGSS.png,1.2,38.0
Mélo,Mélo-RFVF.png,0.3,3.0
Mélofée,Mélofée-RFVF.png,0.6,7.5
Mélodelfe,Mélodelfe-RFVF.png,1.3,40.0
Togepi,Togepi-RFVF.png,0.3,1.5
Togetic,Togetic-HGSS.png,0.6,3.2
Togekiss,Togekiss-DP.png,1.5,38.0
Goinfrex,Goinfrex-DP.png,0.6,105.0
Ronflex,Ronflex-RFVF.png,2.1,460.0
Doudouvet,Doudouvet-NB.png,0.3,0.6
Farfaduvet,Farfaduvet-NB.png,0.7,6.6
Rhinocorne,Rhinocorne-RFVF.png,1.0,115.0
Rhinoféros,Rhinoféros-RFVF.png,1.9,120.0
Rhinastoc,Rhinastoc-DP.png,2.4,282.8
Scrutella,Scrutella-NB.png,0.4,5.8
Mesmérella,Mesmérella-NB.png,0.7,18.0
Sidérella,Sidérella-NB.png,1.5,44.0
Nucléos,Nucléos-NB.png,0.3,1.0
Méios,Méios-NB.png,0.6,8.0
Symbios,Symbios-NB.png,1.0,20.1
Carabing,Carabing-NB.png,0.5,5.9
Lançargot,Lançargot-NB.png,1.0,33.0
Escargaume,Escargaume-NB.png,0.4,7.7
Limaspeed,Limaspeed-NB.png,0.8,23.5
Lewsor,Lewsor-NB.png,0.5,9.0
Neitram,Neitram-NB.png,1.0,34.5
Polarhume,Polarhume-NB.png,0.5,8.5
Polagriffe,Polagriffe-NB.png,2.6,260.0
Furaiglon,Furaiglon-NB.png,0.5,10.5
Gueriaigle,Gueriaigle-NB.png,1.5,41.0
Vostourno,Vostourno-NB.png,0.5,9.0
Vaututrice,Vaututrice-NB.png,1.2,39.5
Rapion,Rapion-DP.png,0.8,12.0
Drascore,Drascore-DP.png,1.3,61.5
Funécire,Funécire-NB.png,0.3,3.1
Mélancolux,Mélancolux-NB.png,0.6,13.0
Lugulabre,Lugulabre-NB.png,1.0,34.3
Sepiatop,Sepiatop-XY.png,0.4,3.5
Sepiatroce,Sepiatroce-XY.png,1.5,47.0
Farfuret,Farfuret-RFVF.png,0.9,28.0
Dimoret,Dimoret-DP.png,1.1,34.0
Ténéfix,Ténéfix-RS.png,0.5,11.0
Mysdibule,Mysdibule-RS.png,0.6,11.5
Maracachi,Maracachi-NB.png,1.0,28.0
Cryptéro,Cryptéro-NB.png,1.4,14.0
Riolu,Riolu-DP.png,0.7,20.2
Lucario,Lucario-DP.png,1.2,54.0
Chartor,Chartor-RS.png,0.5,80.4
Mimiqui,Mimiqui-SL.png,0.2,0.7
Charibari,Charibari-EB.png,1.2,100.0
Pachyradjah,Pachyradjah-EB.png,3.0,650.0
Qwilfish,Qwilfish-HGSS.png,0.5,3.9
Viskuse,Viskuse_(Femelle)-NB.png,1.2,33.0
Moyade,Moyade_(Femelle)-NB.png,2.2,135.0
Vorastérie,Vorastérie-SL.png,0.4,8.0
Prédastérie,Prédastérie-SL.png,0.7,14.5
Nigosier,Nigosier-EB.png,0.8,18.0
Toxizap,Toxizap-EB.png,0.4,11.0
Salarsen,Salarsen_(Aigüe)-EB.png,1.6,40.0
Dunaja,Dunaja-EB.png,2.2,7.6
Dunaconda,Dunaconda-EB.png,3.8,65.5
Hippopotas,Hippopotas-DP.png,0.8,49.5
Hippodocus,Hippodocus-DP.png,2.0,300.0
Fermite,Fermite-NB.png,0.3,33.0
Aflamanoir,Aflamanoir-NB.png,1.4,58.0
Galvaran,Galvaran-XY.png,0.5,6.0
Iguolta,Iguolta-XY.png,1.0,21.0
Brutalibré,Brutalibré-XY.png,0.8,21.5
Kraknoix,Kraknoix-RS.png,0.7,15.0
Vibraninf,Vibraninf-RS.png,1.1,15.3
Libégon,Libégon-RS.png,2.0,82.0
Coupenotte,Coupenotte-NB.png,0.6,18.0
Incisache,Incisache-NB.png,1.0,36.0
Tranchodon,Tranchodon-NB.png,1.8,105.5
Tutafeh,Tutafeh-NB.png,0.5,1.5
Tutétékri,Tutétékri-EB.png,1.6,66.6
Tutankafer,Tutankafer-NB.png,1.7,76.5
Monorpale,Monorpale-XY.png,0.8,2.0
Dimoclès,Dimoclès-XY.png,0.8,4.5
Exagide,Exagide_(Forme_Parade)-XY.png,1.7,53.0
Ponyta,Ponyta-RFVF.png,1.0,30.0
Galopa,Galopa-RFVF.png,1.7,95.0
Théffroi,Théffroi-EB.png,0.1,0.2
Polthégeist,Polthégeist-EB.png,0.2,0.4
Wimessir,Wimessir_(Mâle)-EB.png,0.9,28.0
Brocélôme,Brocélôme-XY.png,0.4,7.0
Desséliande,Desséliande-XY.png,1.5,71.0
Spododo,Spododo-SL.png,0.2,1.5
Lampignon,Lampignon-SL.png,1.0,11.5
Gouroutan,Gouroutan-SL.png,1.5,76.0
Quartermac,Quartermac-SL.png,2.0,82.8
Morpeko,Morpeko_(Mode_Rassasié)-EB.png,0.3,3.0
Hexadron,Hexadron-EB.png,3.0,62.0
Draïeul,Draïeul-SL.png,3.0,185.0
Boumata,Boumata-SL.png,2.0,212.0
Togedemaru,Togedemaru-SL.png,0.3,3.3
Frissonille,Frissonille-EB.png,0.3,3.8
Beldeneige,Beldeneige-EB.png,1.3,42.0
Poulpaf,Poulpaf-EB.png,0.6,4.0
Krakos,Krakos-EB.png,1.6,39.0
Wattapik,Wattapik-EB.png,0.3,1.0
Babimanta,Babimanta-DP.png,1.0,65.0
Démanta,Démanta-HGSS.png,2.1,220.0
Wailmer,Wailmer-RS.png,2.0,130.0
Wailord,Wailord-RS.png,14.5,398.0
Grelaçon,Grelaçon-XY.png,1.0,99.5
Séracrawl,Séracrawl-XY.png,2.0,505.0
Sinistrail,Sinistrail-SL.png,3.9,210.0
Lokhlass,Lokhlass-RFVF.png,2.5,220.0
Séléroc,Séléroc-RS.png,1.0,168.0
Solaroc,Solaroc-RS.png,1.2,154.0
Mime Jr.,Mime_Jr.-DP.png,0.6,13.0
M. Mime,M._Mime-RFVF.png,1.3,54.5
M. Glaquette,M._Glaquette-EB.png,1.5,58.2
Darumarond,Darumarond-NB.png,0.6,37.5
Darumacho,Darumacho-NB.png,1.3,92.9
Dolman,Dolman-EB.png,2.5,520.0
Bekaglaçon,Bekaglaçon_(Tête_de_Gel)-EB.png,1.4,89.0
Duralugon,Duralugon-EB.png,1.8,40.0
Motisma,Motisma_(Forme_Normale)-DP.png,0.3,0.3
Métamorph,Métamorph-RFVF.png,0.3,4.0
Galvagon,Galvagon-EB.png,1.8,190.0
Galvagla,Galvagla-EB.png,2.3,150.0
Hydragon,Hydragon-EB.png,2.3,215.0
Hydragla,Hydragla-EB.png,2.0,175.0
Salamèche,Salamèche-RFVF.png,0.6,8.5
Reptincel,Reptincel-RFVF.png,1.1,19.0
Dracaufeu,Dracaufeu-RFVF.png,1.7,90.5
Type:0,,1.9,120.5
Silvallié,Silvallié-SL.png,2.3,100.5
Embrylex,Embrylex-HGSS.png,0.6,72.0
Ymphect,Ymphect-HGSS.png,1.2,152.0
Tyranocif,Tyranocif-HGSS.png,2.0,202.0
Solochi,Solochi-NB.png,0.8,17.3
Diamat,Diamat-NB.png,1.4,50.0
Trioxhydre,Trioxhydre-NB.png,1.8,160.0
Mucuscule,Mucuscule-XY.png,0.3,2.8
Colimucus,Colimucus-XY.png,0.8,17.5
Muplodocus,Muplodocus-XY.png,2.0,150.5
Bébécaille,Bébécaille-SL.png,0.6,29.7
Écaïd,Écaïd-SL.png,1.2,47.0
Ékaïser,Ékaïser-SL.png,1.6,78.2
Fantyrm,Fantyrm-EB.png,0.5,2.0
Dispareptil,Dispareptil-EB.png,1.4,11.0
Lanssorien,Lanssorien-EB.png,3.0,50.0
Zacian,Zacian_(Épée_Suprême)-EB.png,2.8,-1.0
Zamazenta,Zamazenta_(Bouclier_Suprême)-EB.png,2.9,-1.0
Éthernatos,Éthernatos-EB.png,20.0,950.0
