Name,Type1,Type2,PV,Vitesse,Attaque,Defense,Att_Spe,Def_Spe,Capture
Hypotrempe,Eau,Eau,15,15,4,7,7,2,4
Hypocéan,Eau,Eau,27,21,6,9,9,4,1
Poissirène,Eau,Eau,22,15,6,6,3,5,4
Poissoroy,Eau,Eau,40,17,9,6,6,8,1
Stari,Eau,Eau,15,21,4,5,7,5,4
Staross,Eau,Psy,30,28,7,8,10,8,1
M._Mime,Fee,Psy,20,22,4,6,10,12,0
Insécateur,Insecte,Vol,35,26,11,8,5,8,0
Lippoutou,Glace,Psy,32,23,5,3,11,9,0
Élektek,Electrik,Electrik,32,26,8,5,9,8,0
Magmar,Feu,Feu,32,23,9,5,10,8,0
Scarabrute,Insecte,Insecte,32,21,12,10,5,7,0
Tauros,Normal,Normal,37,27,10,9,4,7,0
Magicarpe,Eau,Eau,10,20,1,5,1,2,5
Léviator,Eau,Vol,47,20,12,7,6,10,0
Lokhlass,Eau,Glace,65,15,8,8,8,9,0
Métamorph,Normal,Normal,24,12,4,4,4,4,0
Évoli,Normal,Normal,27,13,5,5,4,6,0
Aquali,Eau,Eau,65,16,6,6,11,9,0
Voltali,Electrik,Electrik,32,32,6,6,11,9,0
Pyroli,Feu,Feu,32,16,13,6,9,11,0
Porygon,Normal,Normal,32,10,6,7,8,7,0
Amonita,Eau,Roche,17,8,4,10,9,5,0
Amonistar,Eau,Roche,35,13,6,12,11,7,0
Kabuto,Eau,Roche,15,13,8,9,5,4,0
Kabutops,Eau,Roche,30,20,11,10,6,7,0
Ptéra,Roche,Vol,40,32,10,6,6,7,0
Ronflex,Normal,Normal,80,7,11,6,6,11,0
Artikodin,Glace,Vol,45,21,8,10,9,12,0
Électhor,Vol,Electrik,45,25,9,8,12,9,0
Sulfura,Feu,Vol,45,22,10,9,12,8,0
Minidraco,Dragon,Dragon,20,12,6,4,5,5,0
Draco,Dragon,Dragon,30,17,8,6,7,7,0
Dracolosse,Dragon,Vol,45,20,13,9,10,10,0
Mewtwo,Psy,Psy,53,32,11,9,15,9,0
Mew,Psy,Psy,50,25,10,10,10,10,0
