Name,Type1,Type2,PV,Vitesse,Attaque,Defense,Att_Spe,Def_Spe,Capture
Feunard,Feu,Feu,36,25,7,7,8,10,1
Caninos,Feu,Feu,27,15,7,4,7,5,3
Arcanin,Feu,Feu,45,23,11,8,10,8,1
Sorbébé,Glace,Glace,18,11,5,5,6,6,5
Sorboul,Glace,Glace,25,14,6,6,8,7,2
Sorbouboul,Glace,Glace,35,19,9,8,11,9,0
Marcacrin,Glace,Sol,25,12,5,4,3,3,4
Cochignon,Glace,Sol,50,12,10,8,6,6,1
Mammochon,Glace,Sol,55,20,13,8,7,6,1
Cadoizo,Glace,Vol,22,18,5,4,6,4,0
Stalgamin,Glace,Glace,25,12,5,5,5,5,3
Oniglali,Glace,Glace,40,20,8,8,8,8,1
Momartik,Glace,Spectre,35,27,8,7,8,7,1
Balbuto,Psy,Sol,20,13,4,5,4,7,5
Kaorine,Psy,Sol,30,18,7,10,7,12,1
Tiboudet,Sol,Sol,35,11,10,7,4,5,3
Bourrinos,Sol,Sol,50,8,12,10,5,8,1
Crabicoque,Insecte,Roche,25,13,6,8,3,3,3
Crabaraque,Insecte,Roche,35,11,9,12,6,7,1
Gringolem,Sol,Spectre,29,8,7,5,3,5,3
Golemastoc,Sol,Spectre,44,13,12,8,5,8,1
Munna,Psy,Psy,38,6,2,4,6,5,3
Mushana,Psy,Psy,58,7,5,8,10,9,1
Natu,Psy,Vol,20,17,5,4,7,4,3
Xatu,Psy,Vol,32,23,7,7,9,7,1
Nounourson,Combat,Normal,35,12,7,5,4,5,2
Chelours,Combat,Normal,60,15,12,8,5,6,1
Blizzi,Glace,Plante,30,10,6,5,6,6,2
Blizzaroi,Glace,Plante,45,15,9,7,9,8,1
Krabby,Eau,Eau,15,12,10,9,2,2,4
Krabboss,Eau,Eau,27,18,13,11,5,5,1
Axoloto,Eau,Sol,27,3,4,4,2,2,5
Maraiste,Eau,Sol,47,8,8,8,6,6,1
Écrapince,Eau,Eau,21,8,8,6,5,3,4
Colhomard,Eau,Tenebres,31,13,12,8,9,5,3
Ningale,Insecte,Sol,15,10,4,9,3,3,5
Ninjask,Insecte,Vol,30,40,9,4,5,5,2
Munja,Insecte,Spectre,0,10,9,4,3,3,0
Debugant,Combat,Combat,17,8,3,3,3,3,1
Kicklee,Combat,Combat,25,21,12,5,3,11,0
Tygnon,Combat,Combat,25,19,10,7,3,11,0
Kapoera,Combat,Combat,25,17,9,9,3,11,0
Pandespiègle,Combat,Combat,33,10,8,6,4,4,4
Pandarbare,Combat,Tenebres,47,14,12,7,6,7,1
Tic,Acier,Acier,20,7,5,7,4,6,2
Clic,Acier,Acier,30,12,8,9,7,8,1
Cliticlic,Acier,Acier,30,22,10,11,7,8,0
Apitrini,Insecte,Vol,15,17,3,4,3,4,2
Apireine,Insecte,Vol,35,10,8,10,8,10,0
Archéomire,Acier,Psy,28,5,2,8,2,8,5
Archéodong,Acier,Psy,33,8,8,11,7,11,1
Tarsal,Fee,Psy,14,10,2,2,4,3,4
Kirlia,Fee,Psy,19,12,3,3,6,5,2
Gardevoir,Fee,Psy,34,20,6,6,12,11,0
Gallame,Combat,Psy,34,20,12,6,6,11,1
Baudrive,Spectre,Vol,45,17,5,3,6,4,2
Grodrive,Spectre,Vol,75,20,8,4,9,5,1
Tournicoton,Plante,Plante,20,2,4,6,4,6,3
Blancoton,Plante,Plante,30,15,5,9,8,12,1
Ceribou,Plante,Plante,22,8,3,4,6,5,3
Ceriflor,Plante,Plante,35,21,6,7,8,7,1
Moufouette,Poison,Tenebres,31,18,6,4,4,4,4
Moufflair,Poison,Tenebres,51,21,9,6,7,6,1
Tritonde,Eau,Eau,25,16,5,4,5,4,5
Batracné,Eau,Sol,37,14,6,5,6,5,2
Crapustule,Eau,Sol,52,18,8,7,8,7,0
Skelénox,Spectre,Spectre,10,6,4,9,3,9,3
Téraclope,Spectre,Spectre,20,6,7,13,6,13,1
Noctunoir,Spectre,Spectre,22,11,10,13,6,13,0
Machoc,Combat,Combat,35,8,8,5,3,3,3
Machopeur,Combat,Combat,40,11,10,7,5,6,1
Mackogneur,Combat,Combat,45,13,13,8,6,8,0
Fantominus,Poison,Spectre,15,20,3,3,10,3,3
Spectrum,Poison,Spectre,22,23,5,4,11,5,1
Ectoplasma,Poison,Spectre,30,27,6,6,13,7,0
Magicarpe,Eau,Eau,10,20,1,5,1,2,5
Léviator,Eau,Vol,47,20,12,7,6,10,0
Poissirène,Eau,Eau,22,15,6,6,3,5,4
Poissoroy,Eau,Eau,40,17,9,6,6,8,1
Rémoraid,Eau,Eau,17,16,6,3,6,3,3
Octillery,Eau,Eau,37,11,10,7,10,7,1
Kokiyas,Eau,Eau,15,10,6,10,4,2,3
Crustabri,Eau,Glace,25,17,9,18,8,4,1
Barpau,Eau,Eau,10,20,1,2,1,5,5
Milobellus,Eau,Eau,47,20,6,7,10,12,1
Bargantua,Eau,Eau,35,24,9,6,8,5,0
Froussardine,Eau,Eau,22,10,2,2,2,2,1
Concombaffe,Eau,Eau,27,1,6,13,3,13,1
Miamiasme,Poison,Poison,25,16,5,6,4,6,3
Miasmax,Poison,Poison,40,18,9,8,6,8,1
Grillepattes,Feu,Insecte,25,11,6,4,5,5,3
Scolocendre,Feu,Insecte,50,16,11,6,9,9,1
Charbi,Roche,Roche,15,7,4,5,4,5,0
Wagomine,Feu,Roche,40,12,6,9,6,7,0
Monthracite,Feu,Roche,55,7,8,12,8,9,0
Taupiqueur,Sol,Sol,5,23,5,2,3,4,5
Triopikeur,Sol,Sol,17,30,10,5,5,7,1
Rototaupe,Sol,Sol,30,17,8,4,3,4,2
Minotaupe,Acier,Sol,55,22,13,6,5,6,1
Nodulithe,Roche,Roche,27,3,7,8,2,2,5
Géolithe,Roche,Roche,35,5,10,10,5,4,2
Gigalithe,Roche,Roche,42,6,13,13,6,7,0
Charpenti,Combat,Combat,37,8,8,5,2,3,3
Ouvrifier,Combat,Combat,42,10,10,8,4,5,1
Bétochef,Combat,Combat,52,11,14,9,5,6,0
Chovsourir,Psy,Vol,27,18,4,4,5,4,3
Rhinolove,Psy,Vol,33,28,5,5,7,5,0
Sonistrelle,Dragon,Vol,20,13,3,3,4,4,4
Bruyverne,Dragon,Vol,42,30,7,8,9,8,4
Onix,Roche,Sol,17,17,4,16,3,4,0
Steelix,Acier,Sol,37,7,8,20,5,6,0
Embrochet,Eau,Eau,20,16,6,4,4,3,0
Hastacuda,Eau,Eau,30,34,12,6,6,5,0
Miaouss,Normal,Normal,20,22,4,3,4,4,5
Berserkatt,Acier,Acier,35,12,11,10,5,6,0
Persian,Normal,Normal,32,28,7,6,6,6,1
Crèmy,Fee,Fee,22,8,4,4,5,6,0
Charmilly,Fee,Fee,32,16,6,7,11,12,2
Bombydou,Fee,Insecte,20,21,4,4,5,4,3
Rubombelle,Fee,Insecte,30,31,5,6,9,7,1
Grindur,Acier,Plante,22,2,5,9,2,8,5
Noacier,Acier,Plante,37,5,9,13,5,11,1
Pitrouille,Plante,Spectre,22,14,6,7,4,5,3
Banshitrouye,Plante,Spectre,27,24,8,12,5,7,3
Pichu,Electrik,Electrik,10,15,4,1,3,3,3
Pikachu,Electrik,Electrik,17,22,5,3,5,4,3
Raichu,Electrik,Electrik,30,25,9,5,9,8,1
Évoli,Normal,Normal,27,13,5,5,4,6,0
Aquali,Eau,Eau,65,16,6,6,11,9,0
Voltali,Electrik,Electrik,32,32,6,6,11,9,0
Pyroli,Feu,Feu,32,16,13,6,9,11,0
Mentali,Psy,Psy,32,27,6,6,13,9,0
Noctali,Tenebres,Tenebres,47,16,6,11,6,13,0
Phyllali,Plante,Plante,32,23,11,13,6,6,0
Givrali,Glace,Glace,32,16,6,11,13,9,0
Nymphali,Fee,Fee,47,15,6,6,11,13,0
Verpom,Dragon,Plante,20,5,4,8,4,4,5
Pomdrapi,Dragon,Plante,35,17,11,8,9,6,0
Dratatin,Dragon,Plante,55,7,8,8,10,8,0
Psystigri,Psy,Psy,31,17,4,5,6,6,4
Mistigrix,Psy,Psy,37,26,4,7,8,8,4
Sucroquin,Fee,Fee,31,12,4,6,5,5,4
Cupcanaille,Fee,Fee,41,18,8,8,8,7,4
Fluvetin,Fee,Fee,39,5,5,6,6,6,4
Cocotine,Fee,Fee,50,7,7,7,9,8,4
Araqua,Eau,Insecte,19,6,4,5,4,7,4
Tarenbulle,Eau,Insecte,34,10,7,9,5,13,2
Okéoké,Psy,Psy,47,5,2,4,2,4,2
Qulbutoké,Psy,Psy,95,8,3,5,3,5,0
Canarticho,Normal,Vol,26,15,9,5,5,6,0
Palarticho,Combat,Combat,31,16,13,9,6,8,0
Loupio,Eau,Electrik,37,16,3,3,5,5,3
Lanturn,Eau,Electrik,62,16,5,5,7,7,1
Cradopaud,Combat,Poison,24,12,6,4,6,4,2
Coatox,Combat,Poison,41,21,10,6,8,6,1
Baggiguane,Combat,Tenebres,25,12,7,7,3,7,3
Baggaïd,Combat,Tenebres,32,14,9,11,4,11,1
Limonde,Sol,Electrik,54,8,6,8,8,9,1
Caratroc,Insecte,Roche,10,1,1,23,1,23,3
Barloche,Eau,Sol,25,15,4,4,4,4,3
Barbicha,Eau,Sol,55,15,7,7,7,7,1
Sancoki,Eau,Eau,38,8,4,4,5,6,3
Tritosor,Eau,Sol,55,9,8,6,9,8,1
Sovkipou,Eau,Insecte,12,20,3,4,2,3,1
Sarmuraï,Eau,Insecte,37,10,12,14,6,9,0
Opermine,Eau,Roche,21,12,5,6,3,5,5
Golgopathe,Eau,Roche,36,17,10,11,5,8,0
Corayon,Eau,Roche,32,8,5,9,6,9,1
Corayôme,Spectre,Spectre,30,7,9,5,14,13,1
Grimalin,Fee,Tenebres,22,12,4,3,5,4,5
Fourbelin,Fee,Tenebres,32,17,6,4,7,5,2
Angoliath,Fee,Tenebres,47,15,12,6,9,7,0
Bibichut,Psy,Psy,21,9,3,4,5,5,0
Chapotus,Psy,Psy,28,12,4,6,8,7,0
Sorcilence,Fee,Psy,28,7,9,9,13,10,0
Tritox,Feu,Poison,24,19,4,4,7,4,2
Malamandre,Feu,Poison,34,29,6,6,11,6,0
Scalpion,Acier,Tenebres,22,15,8,7,4,4,2
Scalproie,Acier,Tenebres,32,17,12,10,6,7,0
Judokrak,Combat,Combat,60,11,10,8,3,8,0
Karaclée,Combat,Combat,37,21,12,7,3,7,0
Smogo,Poison,Poison,20,8,6,9,6,4,3
Smogogo,Poison,Poison,32,15,9,12,8,7,1
Manzaï,Roche,Roche,25,2,8,9,1,4,5
Simularbre,Roche,Roche,35,7,10,11,3,6,1
Mélo,Fee,Fee,25,3,2,2,4,5,3
Mélofée,Fee,Fee,35,8,4,4,6,6,3
Mélodelfe,Fee,Fee,47,15,7,7,8,9,0
Togepi,Fee,Fee,17,5,2,6,4,6,3
Togetic,Fee,Vol,27,10,4,8,8,10,1
Togekiss,Fee,Vol,42,20,5,9,12,11,0
Goinfrex,Normal,Normal,67,1,8,4,4,8,1
Ronflex,Normal,Normal,80,7,11,6,6,11,0
Doudouvet,Fee,Plante,20,16,2,6,3,5,3
Farfaduvet,Fee,Plante,30,29,6,8,7,7,1
Rhinocorne,Roche,Sol,40,6,8,9,3,3,2
Rhinoféros,Roche,Sol,52,10,13,12,4,4,1
Rhinastoc,Roche,Sol,57,10,14,13,5,5,0
Scrutella,Psy,Psy,22,11,3,5,6,5,4
Mesmérella,Psy,Psy,30,13,4,7,7,8,2
Sidérella,Psy,Psy,35,16,5,9,9,11,1
Nucléos,Psy,Psy,22,5,3,4,10,5,4
Méios,Psy,Psy,32,7,4,5,12,6,2
Symbios,Psy,Psy,55,7,6,7,12,8,1
Carabing,Insecte,Insecte,25,15,7,4,4,4,4
Lançargot,Acier,Insecte,35,5,13,10,6,10,1
Escargaume,Insecte,Insecte,25,6,4,8,4,6,4
Limaspeed,Insecte,Insecte,40,36,7,4,10,6,1
Lewsor,Psy,Psy,27,7,5,5,8,5,5
Neitram,Psy,Psy,37,10,7,7,12,9,1
Polarhume,Glace,Glace,27,10,7,4,6,4,2
Polagriffe,Glace,Glace,47,12,11,8,7,8,1
Furaiglon,Normal,Vol,35,15,8,5,3,5,3
Gueriaigle,Normal,Vol,50,20,12,7,5,7,1
Vostourno,Tenebres,Vol,35,15,5,7,4,6,3
Vaututrice,Tenebres,Vol,55,20,6,10,5,9,1
Rapion,Insecte,Poison,20,16,5,9,3,5,2
Drascore,Poison,Tenebres,35,23,9,11,6,7,0
Funécire,Feu,Spectre,25,5,3,5,6,5,3
Mélancolux,Feu,Spectre,30,13,4,6,9,6,3
Lugulabre,Feu,Spectre,30,20,5,9,14,9,0
Sepiatop,Psy,Tenebres,26,11,5,5,3,4,2
Sepiatroce,Psy,Tenebres,43,18,9,8,6,7,2
Farfuret,Glace,Tenebres,27,28,9,5,3,7,1
Dimoret,Glace,Tenebres,35,31,12,6,4,8,0
Ténéfix,Spectre,Tenebres,25,12,7,7,6,6,0
Mysdibule,Acier,Fee,25,12,8,8,5,5,0
Maracachi,Plante,Plante,37,15,8,6,10,6,5
Cryptéro,Psy,Vol,36,24,5,8,10,8,0
Riolu,Combat,Combat,20,15,7,4,3,4,1
Lucario,Acier,Combat,35,22,11,7,11,7,0
Chartor,Feu,Feu,35,5,8,14,8,7,1
Mimiqui,Fee,Spectre,27,24,9,8,5,10,0
Charibari,Acier,Acier,36,10,8,4,4,4,3
Pachyradjah,Acier,Acier,61,7,13,6,8,6,3
Qwilfish,Eau,Poison,32,21,9,8,5,5,0
Viskuse,Eau,Spectre,27,10,4,5,6,8,3
Moyade,Eau,Spectre,50,15,6,7,8,10,1
Vorastérie,Eau,Poison,25,11,5,6,4,5,3
Prédastérie,Eau,Poison,25,8,6,15,5,14,1
Nigosier,Eau,Vol,35,21,8,5,8,9,0
Toxizap,Poison,Electrik,24,10,3,3,5,3,1
Salarsen,Poison,Electrik,37,18,9,7,11,7,0
Dunaja,Sol,Sol,26,11,5,7,3,5,0
Dunaconda,Sol,Sol,36,17,10,12,6,7,2
Hippopotas,Sol,Sol,34,8,7,7,3,4,2
Hippodocus,Sol,Sol,54,11,11,11,6,7,1
Fermite,Acier,Insecte,29,27,10,11,4,4,1
Aflamanoir,Feu,Feu,42,16,9,6,10,6,1
Galvaran,Normal,Electrik,22,17,3,3,6,4,1
Iguolta,Normal,Electrik,31,27,5,5,10,9,1
Brutalibré,Combat,Vol,39,29,9,7,7,6,2
Kraknoix,Sol,Sol,22,2,10,4,4,4,5
Vibraninf,Dragon,Sol,25,17,7,5,5,5,2
Libégon,Dragon,Sol,40,25,10,8,8,8,0
Coupenotte,Dragon,Dragon,23,14,8,6,3,4,1
Incisache,Dragon,Dragon,33,16,11,7,4,5,1
Tranchodon,Dragon,Dragon,38,24,14,9,6,7,0
Tutafeh,Spectre,Spectre,19,7,3,8,5,6,3
Tutétékri,Sol,Spectre,29,7,9,14,5,10,0
Tutankafer,Spectre,Spectre,29,7,5,14,9,10,1
Monorpale,Acier,Spectre,22,7,8,10,3,3,4
Dimoclès,Acier,Spectre,29,8,11,15,4,4,4
Exagide,Acier,Spectre,30,15,15,5,15,5,4
Ponyta,Feu,Feu,25,22,8,5,6,6,3
Galopa,Feu,Feu,32,26,10,7,8,8,1
Théffroi,Spectre,Spectre,20,12,4,4,7,5,2
Polthégeist,Spectre,Spectre,30,17,6,6,13,11,1
Wimessir,Normal,Psy,30,23,6,5,10,9,0
Brocélôme,Plante,Spectre,21,9,7,4,5,6,2
Desséliande,Plante,Spectre,42,14,11,7,6,8,1
Spododo,Fee,Plante,20,3,3,5,6,7,3
Lampignon,Fee,Plante,30,7,4,8,9,10,1
Gouroutan,Normal,Psy,45,15,6,8,9,11,0
Quartermac,Combat,Combat,50,20,12,9,4,6,0
Morpeko,Tenebres,Electrik,29,24,9,5,7,5,3
Hexadron,Combat,Combat,32,18,10,10,7,6,0
Draïeul,Dragon,Normal,39,9,6,8,13,9,1
Boumata,Dragon,Feu,30,9,7,13,9,8,1
Togedemaru,Acier,Electrik,32,24,9,6,4,7,3
Frissonille,Glace,Insecte,15,5,2,3,4,3,3
Beldeneige,Glace,Insecte,35,16,6,6,12,9,1
Poulpaf,Combat,Combat,25,8,6,6,5,5,3
Krakos,Combat,Combat,40,10,11,9,7,8,0
Wattapik,Electrik,Electrik,24,3,10,9,9,8,0
Babimanta,Eau,Vol,22,12,2,5,6,12,0
Démanta,Eau,Vol,32,17,4,7,8,14,0
Wailmer,Eau,Eau,65,15,7,3,7,3,2
Wailord,Eau,Eau,85,15,9,4,9,4,1
Grelaçon,Glace,Glace,27,7,6,8,3,3,5
Séracrawl,Glace,Glace,47,7,11,18,4,4,1
Sinistrail,Plante,Spectre,35,10,13,10,8,9,0
Lokhlass,Eau,Glace,65,15,8,8,8,9,0
Séléroc,Psy,Roche,35,17,5,6,9,8,0
Solaroc,Psy,Roche,35,17,9,8,5,6,0
Mime_Jr.,Fee,Psy,10,15,2,4,7,9,2
M._Mime,Fee,Psy,20,22,4,6,10,12,0
M._Glaquette,Glace,Psy,40,17,8,7,11,10,0
Darumarond,Feu,Feu,35,12,9,4,1,4,2
Darumacho,Glace,Glace,52,23,14,5,3,5,1
Dolman,Roche,Roche,50,17,12,13,2,2,1
Bekaglaçon,Glace,Glace,37,12,8,11,6,9,1
Duralugon,Acier,Dragon,35,21,9,11,12,5,0
Motisma,Electrik,Spectre,25,22,5,7,9,7,0
Métamorph,Normal,Normal,24,12,4,4,4,4,0
Galvagon,Dragon,Electrik,45,18,10,9,8,7,0
Galvagla,Glace,Electrik,45,13,10,9,9,8,0
Hydragon,Dragon,Eau,45,18,9,10,7,8,0
Hydragla,Eau,Glace,45,13,9,10,8,9,0
Salamèche,Feu,Feu,19,16,5,4,6,5,0
Reptincel,Feu,Feu,29,20,6,5,8,6,0
Dracaufeu,Feu,Vol,39,25,8,7,10,8,0
Type:0,Normal,Normal,47,14,9,9,9,9,0
Silvallié,Normal,Normal,47,23,9,9,9,9,0
Embrylex,Roche,Sol,25,10,6,5,4,5,0
Ymphect,Roche,Sol,35,12,8,7,6,7,0
Tyranocif,Roche,Tenebres,50,15,13,11,9,10,0
Solochi,Dragon,Tenebres,26,9,6,5,4,5,0
Diamat,Dragon,Tenebres,36,14,8,7,6,7,3
Trioxhydre,Dragon,Tenebres,46,24,10,9,12,9,0
Mucuscule,Dragon,Dragon,22,10,5,3,5,7,0
Colimucus,Dragon,Dragon,34,15,7,5,8,11,0
Muplodocus,Dragon,Dragon,45,20,10,7,11,15,0
Bébécaille,Dragon,Dragon,22,11,5,6,4,4,0
Écaïd,Combat,Dragon,27,16,7,9,6,7,0
Ékaïser,Combat,Dragon,37,21,11,12,10,10,0
Fantyrm,Dragon,Spectre,14,20,6,3,4,3,0
Dispareptil,Dragon,Spectre,34,25,8,5,6,5,0
Lanssorien,Dragon,Spectre,44,35,12,7,10,7,0
Zacian,Acier,Fee,46,34,13,11,8,11,0
Zamazenta,Acier,Combat,46,34,13,11,8,11,0
Éthernatos,Dragon,Poison,70,32,8,9,14,9,5
